291.0367, s, 99.0, degC
291.5525, s, 99.0, degC
292.0684, s, 99.0, degC
292.5843, s, 99.0, degC
293.1002, s, 98.9, degC
293.6159, s, 98.9, degC
294.1318, s, 98.8, degC
294.6481, s, 98.8, degC
295.1636, s, 98.9, degC
295.6797, s, 98.9, degC
296.1953, s, 98.9, degC
296.7113, s, 98.9, degC
297.2272, s, 98.9, degC
297.7626, s, 98.9, degC
298.2589, s, 98.9, degC
298.7748, s, 98.9, degC
299.2908, s, 98.9, degC
299.8067, s, 98.9, degC
300.3223, s, 98.8, degC
300.8382, s, 98.8, degC
301.3609, s, 98.8, degC
301.8701, s, 98.8, degC
302.3861, s, 98.8, degC
302.9017, s, 98.7, degC
303.4177, s, 98.7, degC
303.9338, s, 98.7, degC
304.4494, s, 98.7, degC
304.9652, s, 98.7, degC
305.4811, s, 98.7, degC
305.9971, s, 98.7, degC
306.5133, s, 98.7, degC
307.0288, s, 98.7, degC
307.5451, s, 98.7, degC
308.0606, s, 98.7, degC
308.5764, s, 98.7, degC
309.0930, s, 98.7, degC
309.6081, s, 98.7, degC
310.1245, s, 98.7, degC
310.6569, s, 98.7, degC
311.1557, s, 98.7, degC
311.6718, s, 98.6, degC
312.1875, s, 98.6, degC
312.7036, s, 98.6, degC
313.2194, s, 98.6, degC
313.7353, s, 98.6, degC
314.2553, s, 98.6, degC
314.7671, s, 98.6, degC
315.2829, s, 98.6, degC
315.7991, s, 98.6, degC
316.3548, s, 98.6, degC
316.8626, s, 98.6, degC
317.3789, s, 98.5, degC
317.8943, s, 98.5, degC
318.4102, s, 98.5, degC
318.9264, s, 98.5, degC
319.4423, s, 98.5, degC
319.9580, s, 98.6, degC
320.4741, s, 98.6, degC
320.9895, s, 98.5, degC
321.5058, s, 98.5, degC
322.0216, s, 98.5, degC
322.5374, s, 98.5, degC
323.0532, s, 98.5, degC
323.5693, s, 98.5, degC
324.0851, s, 98.5, degC
324.6010, s, 98.5, degC
325.1168, s, 98.4, degC
325.6508, s, 98.4, degC
326.1487, s, 98.4, degC
326.6644, s, 98.4, degC
327.1804, s, 98.4, degC
327.6961, s, 98.4, degC
328.2123, s, 98.4, degC
328.7280, s, 98.3, degC
329.2493, s, 98.3, degC
329.7596, s, 98.2, degC
330.2753, s, 98.2, degC
330.7915, s, 98.2, degC
331.3073, s, 98.1, degC
331.8231, s, 98.2, degC
332.3390, s, 98.2, degC
332.8727, s, 98.2, degC
333.3708, s, 98.2, degC
333.8866, s, 98.3, degC
334.4026, s, 98.2, degC
334.9184, s, 98.2, degC
335.4343, s, 98.2, degC
335.9501, s, 98.2, degC
336.4711, s, 98.2, degC
336.9819, s, 98.2, degC
337.4979, s, 98.2, degC
338.0138, s, 98.2, degC
338.5295, s, 98.2, degC
339.0454, s, 98.2, degC
339.5616, s, 98.2, degC
340.0772, s, 98.2, degC
340.5933, s, 98.2, degC
341.1089, s, 98.1, degC
341.6249, s, 98.1, degC
342.1408, s, 98.0, degC
342.6566, s, 98.0, degC
343.1725, s, 98.0, degC
343.6885, s, 98.1, degC
344.2043, s, 98.1, degC
344.7201, s, 98.1, degC
345.2360, s, 98.1, degC
345.7672, s, 98.1, degC
346.2677, s, 98.1, degC
346.7836, s, 98.1, degC
347.2995, s, 98.1, degC
347.8155, s, 98.1, degC
348.3314, s, 98.1, degC
348.8471, s, 98.1, degC
349.3658, s, 98.0, degC
349.8793, s, 98.0, degC
350.3949, s, 98.0, degC
350.9107, s, 98.0, degC
351.4268, s, 98.0, degC
351.9424, s, 98.0, degC
352.4583, s, 98.0, degC
352.9742, s, 98.0, degC
353.4901, s, 98.0, degC
354.0086, s, 98.0, degC
354.5218, s, 98.0, degC
355.0378, s, 98.0, degC
355.5538, s, 97.9, degC
356.0694, s, 97.9, degC
356.5877, s, 97.9, degC
357.1012, s, 97.9, degC
357.6171, s, 97.9, degC
358.1328, s, 97.9, degC
358.6489, s, 97.9, degC
359.1647, s, 97.9, degC
359.6809, s, 97.9, degC
360.1965, s, 97.9, degC
360.7127, s, 97.9, degC
361.2284, s, 97.9, degC
361.7441, s, 97.9, degC
362.2601, s, 97.8, degC
362.7759, s, 97.8, degC
363.2916, s, 97.8, degC
363.8076, s, 97.8, degC
364.3235, s, 97.8, degC
364.8394, s, 97.8, degC
365.3552, s, 97.8, degC
365.8837, s, 97.8, degC
366.3872, s, 97.8, degC
366.9029, s, 97.8, degC
367.4189, s, 97.8, degC
367.9345, s, 97.8, degC
368.4506, s, 97.8, degC
368.9664, s, 97.8, degC
369.4823, s, 97.7, degC
369.9981, s, 97.7, degC
370.5140, s, 97.7, degC
371.0305, s, 97.7, degC
371.5459, s, 97.7, degC
372.0615, s, 97.7, degC
372.5773, s, 97.7, degC
373.0936, s, 97.7, degC
373.6093, s, 97.7, degC
374.1255, s, 97.7, degC
374.6410, s, 97.7, degC
375.1798, s, 97.7, degC
375.6729, s, 97.7, degC
376.1887, s, 97.6, degC
376.7045, s, 97.6, degC
377.2203, s, 97.6, degC
377.7365, s, 97.6, degC
378.2523, s, 97.6, degC
378.7784, s, 97.6, degC
379.2841, s, 97.6, degC
379.8002, s, 97.6, degC
380.3158, s, 97.6, degC
380.8316, s, 97.6, degC
381.3475, s, 97.6, degC
381.8633, s, 97.6, degC
382.3792, s, 97.5, degC
382.8951, s, 97.5, degC
383.4109, s, 97.5, degC
383.9270, s, 97.5, degC
384.4428, s, 97.5, degC
384.9587, s, 97.5, degC
385.4744, s, 97.5, degC
385.9903, s, 97.5, degC
386.5063, s, 97.5, degC
387.0222, s, 97.5, degC
387.5380, s, 97.5, degC
388.0742, s, 97.5, degC
388.5698, s, 97.4, degC
389.0857, s, 97.4, degC
389.6015, s, 97.4, degC
390.1174, s, 97.4, degC
390.6334, s, 97.4, degC
391.1492, s, 97.4, degC
391.6728, s, 97.4, degC
392.1809, s, 97.4, degC
392.6966, s, 97.3, degC
393.2129, s, 97.3, degC
393.7287, s, 97.3, degC
394.2443, s, 97.3, degC
394.7605, s, 97.3, degC
395.2762, s, 97.3, degC
395.7921, s, 97.3, degC
396.3080, s, 97.3, degC
396.8237, s, 97.3, degC
397.3395, s, 97.3, degC
397.8557, s, 97.3, degC
398.3715, s, 97.2, degC
398.8873, s, 97.2, degC
399.4031, s, 97.2, degC
399.9192, s, 97.2, degC
400.4352, s, 97.2, degC
400.9690, s, 97.2, degC
401.4668, s, 97.2, degC
401.9827, s, 97.2, degC
402.4985, s, 97.2, degC
403.0143, s, 97.2, degC
403.5300, s, 97.2, degC
404.0460, s, 97.2, degC
404.5672, s, 97.2, degC
405.0778, s, 97.2, degC
405.5938, s, 97.1, degC
406.1095, s, 97.1, degC
406.6256, s, 97.1, degC
407.1415, s, 97.1, degC
407.6572, s, 97.1, degC
408.1731, s, 97.1, degC
408.6891, s, 97.1, degC
409.2049, s, 97.1, degC
409.7208, s, 97.1, degC
410.2365, s, 97.1, degC
410.7524, s, 97.1, degC
411.2685, s, 97.1, degC
411.7843, s, 97.1, degC
412.3002, s, 97.1, degC
412.8159, s, 97.1, degC
413.3319, s, 97.1, degC
413.8633, s, 97.1, degC
414.3637, s, 97.1, degC
414.8798, s, 97.1, degC
415.3955, s, 97.1, degC
415.9113, s, 97.0, degC
416.4272, s, 97.0, degC
416.9752, s, 97.0, degC
417.4913, s, 97.0, degC
418.0074, s, 97.0, degC
418.5230, s, 96.9, degC
419.0387, s, 96.9, degC
419.5610, s, 96.9, degC
420.0706, s, 96.9, degC
420.5865, s, 97.0, degC
421.1025, s, 96.9, degC
421.6184, s, 96.9, degC
422.1343, s, 96.9, degC
422.6501, s, 96.9, degC
423.1659, s, 96.9, degC
423.6816, s, 96.9, degC
424.1977, s, 96.9, degC
424.7137, s, 96.9, degC
425.2295, s, 96.9, degC
425.7452, s, 96.8, degC
426.2610, s, 96.8, degC
426.7770, s, 96.8, degC
427.2930, s, 96.8, degC
427.8088, s, 96.9, degC
428.3245, s, 96.8, degC
428.8570, s, 96.8, degC
429.3563, s, 96.8, degC
429.8722, s, 96.8, degC
430.3882, s, 96.9, degC
430.9041, s, 96.8, degC
431.4200, s, 96.8, degC
431.9358, s, 96.8, degC
432.4555, s, 96.8, degC
432.9676, s, 96.7, degC
433.4835, s, 96.7, degC
433.9993, s, 96.8, degC
434.5152, s, 96.7, degC
435.0309, s, 96.7, degC
435.5471, s, 96.7, degC
436.0630, s, 96.7, degC
436.5786, s, 96.7, degC
437.0947, s, 96.7, degC
437.6104, s, 96.7, degC
438.1265, s, 96.7, degC
438.6424, s, 96.7, degC
439.1579, s, 96.7, degC
439.6741, s, 96.7, degC
440.1900, s, 96.7, degC
440.7057, s, 96.7, degC
441.2216, s, 96.7, degC
441.7519, s, 96.7, degC
442.2534, s, 96.7, degC
442.7693, s, 96.6, degC
443.2851, s, 96.6, degC
443.8011, s, 96.6, degC
444.3170, s, 96.6, degC
444.8328, s, 96.6, degC
445.3504, s, 96.6, degC
445.8644, s, 96.6, degC
446.3804, s, 96.6, degC
446.8964, s, 96.6, degC
447.4122, s, 96.6, degC
447.9280, s, 96.6, degC
448.4437, s, 96.5, degC
448.9598, s, 96.5, degC
449.4757, s, 96.5, degC
449.9915, s, 96.5, degC
450.5076, s, 96.5, degC
451.0235, s, 96.5, degC
451.5391, s, 96.5, degC
452.0551, s, 96.4, degC
452.5708, s, 96.4, degC
453.0867, s, 96.4, degC
453.6027, s, 96.4, degC
454.1186, s, 96.5, degC
454.6464, s, 96.4, degC
455.1502, s, 96.4, degC
455.6663, s, 96.4, degC
456.1822, s, 96.4, degC
456.6979, s, 96.4, degC
457.2141, s, 96.4, degC
457.7298, s, 96.4, degC
458.2455, s, 96.4, degC
458.7620, s, 96.4, degC
459.2773, s, 96.4, degC
459.7930, s, 96.3, degC
460.3090, s, 96.3, degC
460.8250, s, 96.3, degC
461.3410, s, 96.3, degC
461.8683, s, 96.2, degC
462.3725, s, 96.2, degC
462.8883, s, 96.2, degC
463.4043, s, 96.2, degC
463.9201, s, 96.3, degC
464.4362, s, 96.3, degC
464.9519, s, 96.3, degC
465.4679, s, 96.4, degC
465.9835, s, 96.3, degC
466.4995, s, 96.3, degC
467.0156, s, 96.3, degC
467.5313, s, 96.3, degC
468.0471, s, 96.3, degC
468.5634, s, 96.3, degC
469.0796, s, 96.3, degC
469.5950, s, 96.2, degC
