260.4601, s, 95.7, degC
260.9753, s, 95.6, degC
261.4910, s, 95.6, degC
262.0074, s, 95.6, degC
262.5230, s, 95.6, degC
263.0388, s, 95.5, degC
263.5546, s, 95.5, degC
264.0707, s, 95.5, degC
264.5866, s, 95.5, degC
265.1023, s, 95.4, degC
265.6184, s, 95.5, degC
266.1341, s, 95.4, degC
266.6502, s, 95.4, degC
267.1659, s, 95.4, degC
267.6818, s, 95.4, degC
268.2116, s, 95.4, degC
268.7138, s, 95.4, degC
269.2294, s, 95.4, degC
269.7453, s, 95.4, degC
270.2612, s, 95.3, degC
270.7775, s, 95.3, degC
271.2934, s, 95.3, degC
271.8101, s, 95.2, degC
272.3266, s, 95.2, degC
272.8403, s, 95.2, degC
273.3564, s, 95.2, degC
273.8722, s, 95.1, degC
274.3879, s, 95.1, degC
274.9038, s, 95.1, degC
275.4200, s, 95.0, degC
275.9359, s, 95.0, degC
276.4518, s, 95.0, degC
276.9682, s, 94.9, degC
277.4831, s, 94.9, degC
277.9993, s, 94.9, degC
278.5150, s, 94.8, degC
279.0308, s, 94.8, degC
279.5466, s, 94.8, degC
280.0628, s, 94.7, degC
280.5787, s, 94.8, degC
281.1060, s, 94.7, degC
281.6102, s, 94.7, degC
282.1263, s, 94.7, degC
282.6422, s, 94.7, degC
283.1581, s, 94.7, degC
283.6737, s, 94.6, degC
284.2219, s, 94.6, degC
284.7378, s, 94.5, degC
285.2536, s, 94.5, degC
285.7696, s, 94.5, degC
286.2853, s, 94.5, degC
286.8038, s, 94.5, degC
287.3172, s, 94.5, degC
287.8331, s, 94.5, degC
288.3488, s, 94.5, degC
288.8650, s, 94.4, degC
289.3808, s, 94.4, degC
289.8966, s, 94.4, degC
290.4123, s, 94.4, degC
290.9285, s, 94.3, degC
291.4443, s, 94.3, degC
291.9602, s, 94.3, degC
292.4759, s, 94.3, degC
292.9919, s, 94.2, degC
293.5077, s, 94.2, degC
294.0247, s, 94.2, degC
294.5395, s, 94.2, degC
295.0552, s, 94.1, degC
295.5713, s, 94.1, degC
296.0997, s, 94.1, degC
296.6030, s, 94.1, degC
297.1188, s, 94.0, degC
297.6349, s, 94.0, degC
298.1507, s, 93.9, degC
298.6665, s, 93.9, degC
299.1823, s, 93.9, degC
299.6980, s, 94.0, degC
300.2141, s, 94.0, degC
300.7299, s, 94.0, degC
301.2460, s, 94.0, degC
301.7616, s, 94.0, degC
302.2777, s, 93.9, degC
302.7934, s, 93.9, degC
303.3093, s, 93.9, degC
303.8252, s, 93.9, degC
304.3411, s, 93.8, degC
304.8570, s, 93.8, degC
305.3956, s, 93.8, degC
305.8888, s, 93.8, degC
306.4044, s, 93.8, degC
306.9205, s, 93.8, degC
307.4365, s, 93.8, degC
307.9522, s, 93.7, degC
308.4680, s, 93.7, degC
308.9939, s, 93.7, degC
309.4999, s, 93.7, degC
310.0158, s, 93.7, degC
310.5317, s, 93.7, degC
311.0474, s, 93.7, degC
311.5634, s, 93.7, degC
312.0793, s, 93.7, degC
312.5950, s, 93.7, degC
313.1112, s, 93.7, degC
313.6267, s, 93.7, degC
314.1429, s, 93.7, degC
314.6584, s, 93.7, degC
315.1744, s, 93.7, degC
315.6909, s, 93.7, degC
316.2062, s, 93.6, degC
316.7221, s, 93.6, degC
317.2381, s, 93.6, degC
317.7540, s, 93.6, degC
318.2902, s, 93.6, degC
318.7855, s, 93.5, degC
319.3014, s, 93.5, degC
319.8175, s, 93.5, degC
320.3333, s, 93.5, degC
320.8492, s, 93.5, degC
